Player,Position,NFLTeam,Bye,CBS ADP,CBS Rank,FFC ADP,Rank
Chris Boswell,PK,PIT,9,999.0,999,157.8,252
Tennessee Defense,DEF,TEN,9,999.0,999,159.3,253
Eddy Piñeiro,PK,SF,8,999.0,999,159.4,254
Buffalo Defense,DEF,BUF,7,999.0,999,161.5,255
Baltimore Defense,DEF,BAL,13,999.0,999,161.6,256
Chig Okonkwo,TE,WAS,7,999.0,999,163.2,257
Tyler Bass,PK,BUF,7,999.0,999,163.3,258
Wil Lutz,PK,DEN,10,999.0,999,164.1,259
Atlanta Defense,DEF,ATL,11,999.0,999,165.0,260
Ty Johnson,RB,BUF,7,999.0,999,165.3,261
Fernando Mendoza,QB,LV,13,999.0,999,166.9,262
Dallas Defense,DEF,DAL,14,999.0,999,167.1,263
Emari Demercado,RB,KC,5,999.0,999,167.4,264
Evan McPherson,PK,CIN,6,999.0,999,168.5,265
Jalen Tolbert,WR,MIA,6,999.0,999,168.7,266
Cleveland Defense,DEF,CLE,11,999.0,999,169.5,267
NY Giants Defense,DEF,NYG,8,999.0,999,170.3,268
AJ Dillon,RB,CAR,5,999.0,999,170.3,269
Bryce Young,QB,CAR,5,999.0,999,170.9,270
New Orleans Defense,DEF,NO,8,999.0,999,171.9,271
Chicago Defense,DEF,CHI,10,999.0,999,172.2,272
Darius Slayton,WR,NYG,8,999.0,999,172.8,273
Cam Ward,QB,TEN,9,999.0,999,173.1,274
Samaje Perine,RB,CIN,6,999.0,999,173.7,275
Aaron Rodgers,QB,PIT,9,999.0,999,174.6,276
Cincinnati Defense,DEF,CIN,6,999.0,999,176.4,277
Isaac TeSlaa,WR,DET,6,999.0,999,179.1,278
Miami Defense,DEF,MIA,6,999.0,999,179.4,279
Washington Defense,DEF,WAS,7,999.0,999,181.1,280
Christian Kirk,WR,SF,8,999.0,999,186.9,281
